question,answer,text
What is Ron's favorite Quidditch team?,Chudley Cannons,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is Ron's favorite Quidditch team? [/INST] Chudley Cannons </s>
Who is the flying instructor?,Madam Hooch,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the flying instructor? [/INST] Madam Hooch </s>
What is the name of the magical object that allows communication between individuals over long distances?,Mirror of Erised,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that allows communication between individuals over long distances? [/INST] Mirror of Erised </s>
How do you tell if a door is Imperturbable?,Chuck stuff at it,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How do you tell if a door is Imperturbable? [/INST] Chuck stuff at it </s>
What is the name of the spell used to create a small flame?,Incendio,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a small flame? [/INST] Incendio </s>
What charm can repel a Lethiford?,Patronus Charm,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What charm can repel a Lethiford? [/INST] Patronus Charm </s>
Which statement is true about conjured objects?,They vanish in time,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which statement is true about conjured objects? [/INST] They vanish in time </s>
What is the name of the magical object that reveals the location of Horcruxes?,R.A.B.'s Locket,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that reveals the location of Horcruxes? [/INST] R.A.B.'s Locket </s>
"In our first Transfiguration class, Professor McGonagall showed us a Transfigured cauldron. The cauldron was sporting what strange feature?",Cat ears,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In our first Transfiguration class, Professor McGonagall showed us a Transfigured cauldron. The cauldron was sporting what strange feature? [/INST] Cat ears </s>"
Which of these plants doesn't bite?,Whomping Willow,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of these plants doesn't bite? [/INST] Whomping Willow </s>
In which place does Harry first meet Gilderoy Lockhart?,Flourish and Blotts.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry first meet Gilderoy Lockhart? [/INST] Flourish and Blotts. </s>
What is the name of the street in London where the Leaky Cauldron is located?,Diagon Alley,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the street in London where the Leaky Cauldron is located? [/INST] Diagon Alley </s>
How many points is the Golden Snitch worth?,150,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How many points is the Golden Snitch worth? [/INST] 150 </s>
Which room did the members of Dumbledore's Army use as a hideout?,The Room of Requirement,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which room did the members of Dumbledore's Army use as a hideout? [/INST] The Room of Requirement </s>
Who was the ghost of Hufflepuff House during Harry Potter's time at Hogwarts?,The Fat Friar,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the ghost of Hufflepuff House during Harry Potter's time at Hogwarts? [/INST] The Fat Friar </s>
Where could you buy broomsticks?,Quality Quidditch Supplies,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where could you buy broomsticks? [/INST] Quality Quidditch Supplies </s>
Which potion is commonly featured in Muggle fairy tales?,Draught of Living Death,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which potion is commonly featured in Muggle fairy tales? [/INST] Draught of Living Death </s>
What is the name of the spell used to produce light from the tip of the wand?,Lumos,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to produce light from the tip of the wand? [/INST] Lumos </s>
Which scent attracts Hermione Granger?,"Freshly mown grass, mint toothpaste, and fresh parchment","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which scent attracts Hermione Granger? [/INST] Freshly mown grass, mint toothpaste, and fresh parchment </s>"
Who loses an ear at the start of the book?,George Weasley,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who loses an ear at the start of the book? [/INST] George Weasley </s>
What does the house with the highest score win?,House Cup,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What does the house with the highest score win? [/INST] House Cup </s>
"What is the name of the magical creature that resembles a small, winged horse and is invisible to those who have not witnessed death?",Thestral,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a small, winged horse and is invisible to those who have not witnessed death? [/INST] Thestral </s>"
What is the name of the house-elf who served the Crouch family before being freed by Hermione?,Winky,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the house-elf who served the Crouch family before being freed by Hermione? [/INST] Winky </s>
"What is the name of the magical creature that resembles a large, winged horse?",Thestral,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a large, winged horse? [/INST] Thestral </s>"
Who did not compete in the Triwizard Tournament?,Fred,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who did not compete in the Triwizard Tournament? [/INST] Fred </s>
Which character is known for their expertise in dark magic and for creating Horcruxes?,Tom Riddle or Lord Voldemort.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which character is known for their expertise in dark magic and for creating Horcruxes? [/INST] Tom Riddle or Lord Voldemort. </s>
What is the name of the magical plant that repels Dementors when burned?,Dittany,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical plant that repels Dementors when burned? [/INST] Dittany </s>
What is the name of the magical creature that serves as a messenger for the Ministry of Magic?,Owls,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that serves as a messenger for the Ministry of Magic? [/INST] Owls </s>
What is the name of the Hogwarts poltergeist?,Peeves,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Hogwarts poltergeist? [/INST] Peeves </s>
What is the name of the spell used to conjure a powerful wind?,Ventus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to conjure a powerful wind? [/INST] Ventus </s>
What is the name of the magical game played on flying broomsticks?,Quidditch.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical game played on flying broomsticks? [/INST] Quidditch. </s>
What is the name of the train that takes students to Hogwarts?,Hogwarts Express,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the train that takes students to Hogwarts? [/INST] Hogwarts Express </s>
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions. [/INST] Long hair </s>"
What is the name of the spell used to produce a shield against Dementors?,Expecto Patronum,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to produce a shield against Dementors? [/INST] Expecto Patronum </s>
"Why does Harry attend the Yule Ball in ""Harry Potter and the Goblet of Fire""?",It is part of the Triwizard Tournament tradition.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry attend the Yule Ball in ""Harry Potter and the Goblet of Fire""? [/INST] It is part of the Triwizard Tournament tradition. </s>"
"In the movie, what sound does Ron make after eating a magical candy?",A lion’s roar,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In the movie, what sound does Ron make after eating a magical candy? [/INST] A lion’s roar </s>"
What is the name of the spell used to create a shield around the caster?,Protego,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a shield around the caster? [/INST] Protego </s>
"What is the name of the magical creature that resembles a small, mischievous fairy?",Pixie,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a small, mischievous fairy? [/INST] Pixie </s>"
What is the name of the dark wizard who was defeated by Harry Potter in the Battle of Hogwarts?,Lord Voldemort,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the dark wizard who was defeated by Harry Potter in the Battle of Hogwarts? [/INST] Lord Voldemort </s>
What does the Vermillious spell make appear from the tip of one's wand?,Red Sparks,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What does the Vermillious spell make appear from the tip of one's wand? [/INST] Red Sparks </s>
"Why does Harry learn about the Mirror of Erised in ""Harry Potter and the Philosopher’s Stone""?",Dumbledore explains its purpose to him and its allure for those who see their deepest desires reflected.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry learn about the Mirror of Erised in ""Harry Potter and the Philosopher’s Stone""? [/INST] Dumbledore explains its purpose to him and its allure for those who see their deepest desires reflected. </s>"
What magical plant resembles a withered tree stump?,Snargaluff,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What magical plant resembles a withered tree stump? [/INST] Snargaluff </s>
What is the name of the magical plant that cries like a baby when it's uprooted?,Mandrake,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical plant that cries like a baby when it's uprooted? [/INST] Mandrake </s>
What is the name of the spell used to produce a jet of water from the caster's wand?,Aguamenti,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to produce a jet of water from the caster's wand? [/INST] Aguamenti </s>
What is a non-side effect of Elixir to induce Euphoria?,Excessive sweating,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is a non-side effect of Elixir to induce Euphoria? [/INST] Excessive sweating </s>
What does Veritaserum taste like?,It has no taste at all.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What does Veritaserum taste like? [/INST] It has no taste at all. </s>
What fluffy creature hums when it's happy and likes to stick its tongue up Wizards' noses?,Puffskein,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What fluffy creature hums when it's happy and likes to stick its tongue up Wizards' noses? [/INST] Puffskein </s>
In which place does Harry first see the dragon Norbert?,The Astronomy Tower.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry first see the dragon Norbert? [/INST] The Astronomy Tower. </s>
How does Ron’s loyalty to Harry and Hermione demonstrate the theme of friendship?,"It shows the power of unwavering support and the importance of standing by those you care about, even in difficult times.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Ron’s loyalty to Harry and Hermione demonstrate the theme of friendship? [/INST] It shows the power of unwavering support and the importance of standing by those you care about, even in difficult times. </s>"
Which books details the history of Quidditch?,Quidditch Through the Ages,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which books details the history of Quidditch? [/INST] Quidditch Through the Ages </s>
What creature did the Wizards’ Council make a protected species?,Golden Snidget.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What creature did the Wizards’ Council make a protected species? [/INST] Golden Snidget. </s>
Who is the headmaster of Hogwarts during Harry's time there?,Albus Dumbledore,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the headmaster of Hogwarts during Harry's time there? [/INST] Albus Dumbledore </s>
"According to Hagrid, which is the safest place in the Wizarding World other than Hogwarts?",Gringotts,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: According to Hagrid, which is the safest place in the Wizarding World other than Hogwarts? [/INST] Gringotts </s>"
"Why does Professor Snape kill Dumbledore in ""Harry Potter and the Half-Blood Prince""?",As part of Dumbledore’s plan to protect Draco Malfoy and gain Voldemort’s trust.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Professor Snape kill Dumbledore in ""Harry Potter and the Half-Blood Prince""? [/INST] As part of Dumbledore’s plan to protect Draco Malfoy and gain Voldemort’s trust. </s>"
What is the name of the magical object that grants the wielder mastery over death?,Elder Wand,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that grants the wielder mastery over death? [/INST] Elder Wand </s>
What is the last line of the last book?,“All was well.”,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the last line of the last book? [/INST] “All was well.” </s>
What is the name of the potion that allows the drinker to breathe underwater?,Gillyweed,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that allows the drinker to breathe underwater? [/INST] Gillyweed </s>
What will help you whilst attempting Strong Braking?,A firm grip.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What will help you whilst attempting Strong Braking? [/INST] A firm grip. </s>
What is the dynamic between Harry and Draco Malfoy?,"They start as rivals, but Harry often sees through Draco’s tough exterior and feels some pity for him, especially in later books.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the dynamic between Harry and Draco Malfoy? [/INST] They start as rivals, but Harry often sees through Draco’s tough exterior and feels some pity for him, especially in later books. </s>"
What is the first line of the book?,"“Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.”","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the first line of the book? [/INST] “Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much.” </s>"
What is the magical equipment store in Hogsmeade?,Dervish and Banges,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the magical equipment store in Hogsmeade? [/INST] Dervish and Banges </s>
What type of Transfiguration turns a goldfinch into a Golden Snitch?,Transformation,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What type of Transfiguration turns a goldfinch into a Golden Snitch? [/INST] Transformation </s>
Where is the nearest dragon reserve?,Romania,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where is the nearest dragon reserve? [/INST] Romania </s>
In which place is the Hogwarts Sorting Hat ceremony held?,The Great Hall at Hogwarts.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place is the Hogwarts Sorting Hat ceremony held? [/INST] The Great Hall at Hogwarts. </s>
What is the name of the ghost who is the Gryffindor House's ghost?,Nearly Headless Nick,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the ghost who is the Gryffindor House's ghost? [/INST] Nearly Headless Nick </s>
What is the name of the gamekeeper at Hogwarts?,Rubeus Hagrid,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the gamekeeper at Hogwarts? [/INST] Rubeus Hagrid </s>
What is the name of the spell used to create a ring of fire?,Furnunculus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a ring of fire? [/INST] Furnunculus </s>
"Why does Harry become the Seeker for the Gryffindor Quidditch team in ""Harry Potter and the Philosopher’s Stone""?",He is an exceptional flyer and has a passion for Quidditch.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Why does Harry become the Seeker for the Gryffindor Quidditch team in ""Harry Potter and the Philosopher’s Stone""? [/INST] He is an exceptional flyer and has a passion for Quidditch. </s>"
Who was the founder of Hufflepuff House?,Helga Hufflepuff,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the founder of Hufflepuff House? [/INST] Helga Hufflepuff </s>
What impact does Luna Lovegood’s friendship with Harry and the others have on her worldview and perspective?,"It helps her see the world in a more nuanced and compassionate way, while also teaching her about the importance of empathy and understanding.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What impact does Luna Lovegood’s friendship with Harry and the others have on her worldview and perspective? [/INST] It helps her see the world in a more nuanced and compassionate way, while also teaching her about the importance of empathy and understanding. </s>"
How many players are on a quidditch team?,7,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How many players are on a quidditch team? [/INST] 7 </s>
What is the name of the Hogwarts Potions Master who teaches at Hogwarts?,Severus Snape,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the Hogwarts Potions Master who teaches at Hogwarts? [/INST] Severus Snape </s>
Where are flying lessons held?,Training Grounds,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where are flying lessons held? [/INST] Training Grounds </s>
Which creature was used in Quidditch before being replaced by the Golden Snitch?,Golden Snidget,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which creature was used in Quidditch before being replaced by the Golden Snitch? [/INST] Golden Snidget </s>
What is the name of the spell used to silence someone?,Silencio,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to silence someone? [/INST] Silencio </s>
How does Dumbledore’s relationship with Harry influence his understanding of power and authority?,It teaches him that true power comes from using one’s influence for the greater good and making difficult choices for the sake of others.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Dumbledore’s relationship with Harry influence his understanding of power and authority? [/INST] It teaches him that true power comes from using one’s influence for the greater good and making difficult choices for the sake of others. </s>
What do the students call the Gryffindor ghost?,Nearly Headless Nick.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What do the students call the Gryffindor ghost? [/INST] Nearly Headless Nick. </s>
Who was the first Minister of Magic?,Ulick Gamp,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who was the first Minister of Magic? [/INST] Ulick Gamp </s>
What is the name of the woman who runs the Hogwarts kitchen?,Madam Pomfrey.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the woman who runs the Hogwarts kitchen? [/INST] Madam Pomfrey. </s>
What does Professor Vector Teach?,Arithmancy.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What does Professor Vector Teach? [/INST] Arithmancy. </s>
What is the name of the gamekeeper at Hogwarts?,Rubeus Hagrid,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the gamekeeper at Hogwarts? [/INST] Rubeus Hagrid </s>
What role does Neville Longbottom’s friendship with Harry and the others play in his understanding of bravery and courage?,"It helps him see that true courage comes from facing one’s fears and standing up for what is right, even in the face of uncertainty and danger.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What role does Neville Longbottom’s friendship with Harry and the others play in his understanding of bravery and courage? [/INST] It helps him see that true courage comes from facing one’s fears and standing up for what is right, even in the face of uncertainty and danger. </s>"
What role does Ginny Weasley’s friendship with Luna Lovegood play in her development as a character?,"It helps her become more open-minded and accepting of others, while also teaching her about the importance of empathy and understanding.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What role does Ginny Weasley’s friendship with Luna Lovegood play in her development as a character? [/INST] It helps her become more open-minded and accepting of others, while also teaching her about the importance of empathy and understanding. </s>"
"What is the name of the magical creature that is a large, black dog with a wild, gleaming eye?",Grim,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that is a large, black dog with a wild, gleaming eye? [/INST] Grim </s>"
How is mail delivered in the wizarding world?,By owl post.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How is mail delivered in the wizarding world? [/INST] By owl post. </s>
"What is the name of the magical creature that resembles a large, winged horse?",Thestral,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical creature that resembles a large, winged horse? [/INST] Thestral </s>"
Who is the Transfiguration teacher at Hogwarts?,Professor Minerva McGonagall.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the Transfiguration teacher at Hogwarts? [/INST] Professor Minerva McGonagall. </s>
What is the impact of Ron’s jealousy on his relationship with Harry?,"It creates tension between them at times, but their friendship ultimately prevails.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the impact of Ron’s jealousy on his relationship with Harry? [/INST] It creates tension between them at times, but their friendship ultimately prevails. </s>"
What do I hate most of all?,Myths and Legends,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What do I hate most of all? [/INST] Myths and Legends </s>
What is the name of the spell used to create a Patronus?,Expecto Patronum,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to create a Patronus? [/INST] Expecto Patronum </s>
What does the Ear-Shrivelling Curse cause?,Ears to wither,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What does the Ear-Shrivelling Curse cause? [/INST] Ears to wither </s>
What is the name of the spell used to summon objects to the caster?,Accio,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to summon objects to the caster? [/INST] Accio </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
What role does Neville Longbottom’s friendship with Harry and the others play in his development as a leader?,"It helps him gain confidence in himself and his abilities, while also teaching him about the importance of courage and perseverance in the face of adversity.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What role does Neville Longbottom’s friendship with Harry and the others play in his development as a leader? [/INST] It helps him gain confidence in himself and his abilities, while also teaching him about the importance of courage and perseverance in the face of adversity. </s>"
What is the name of the magical object that allows the user to store and access memories?,Pensieve,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that allows the user to store and access memories? [/INST] Pensieve </s>
What is the root language of any spells?,Latin,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the root language of any spells? [/INST] Latin </s>
Who is the autor of 'Beginners Guide to Transfigurations'?,Emeric Switch,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is the autor of 'Beginners Guide to Transfigurations'? [/INST] Emeric Switch </s>
What is the name of the spell used to disarm opponents?,Expelliarmus,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the spell used to disarm opponents? [/INST] Expelliarmus </s>
The Muffliato Charm fills its targets' ears with what?,Unidentifiable Buzzing,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: The Muffliato Charm fills its targets' ears with what? [/INST] Unidentifiable Buzzing </s>
What impact does Luna Lovegood’s friendship with Harry and the others have on her sense of identity and self-worth?,"It helps her embrace her uniqueness and see the value in her own perspectives and beliefs, while also teaching her about the importance of self-acceptance and confidence.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What impact does Luna Lovegood’s friendship with Harry and the others have on her sense of identity and self-worth? [/INST] It helps her embrace her uniqueness and see the value in her own perspectives and beliefs, while also teaching her about the importance of self-acceptance and confidence. </s>"
"Ever the eccentric, Dumbledore has a scar above his left knee that is a perfect map of what?",The London Underground.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Ever the eccentric, Dumbledore has a scar above his left knee that is a perfect map of what? [/INST] The London Underground. </s>"
What position did Viktor Krum play on the Durmstrang Institute Quidditch team?,Seeker,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What position did Viktor Krum play on the Durmstrang Institute Quidditch team? [/INST] Seeker </s>
Which ghost haunts the second-floor girls' bathroom in Hogwarts?,Moaning Myrtle,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which ghost haunts the second-floor girls' bathroom in Hogwarts? [/INST] Moaning Myrtle </s>
"In which place does Harry find the Mirror of Erised in ""Harry Potter and the Philosopher’s Stone""?",The Mirror Room.,"<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: In which place does Harry find the Mirror of Erised in ""Harry Potter and the Philosopher’s Stone""? [/INST] The Mirror Room. </s>"
What type of cauldron do first-year students need?,Pewter,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What type of cauldron do first-year students need? [/INST] Pewter </s>
What other name is the Doxy commonly known by?,The Biting Fairy.,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What other name is the Doxy commonly known by? [/INST] The Biting Fairy. </s>
Madam Hooch has distinct yellow what?,Eyes,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Madam Hooch has distinct yellow what? [/INST] Eyes </s>
Where is the Hall of Prophecy?,Ministry of Magic,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Where is the Hall of Prophecy? [/INST] Ministry of Magic </s>
Which of these books covers ancient runes?,Spellman's Syllabery,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Which of these books covers ancient runes? [/INST] Spellman's Syllabery </s>
What spell works on the Whomping WIllow to stop it from attacking?,The Freezing Charm,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What spell works on the Whomping WIllow to stop it from attacking? [/INST] The Freezing Charm </s>
What can cause a person's patronus to change?,Major life events,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What can cause a person's patronus to change? [/INST] Major life events </s>
Who is Slytherin's patron ghost?,Bloody Baron,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Who is Slytherin's patron ghost? [/INST] Bloody Baron </s>
What is the incantation for the Exploding Charm?,Bombarda,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the incantation for the Exploding Charm? [/INST] Bombarda </s>
What is the name of the magical object that is used to track the location of other magical beings?,Marauder's Map,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the magical object that is used to track the location of other magical beings? [/INST] Marauder's Map </s>
How does Sirius Black’s friendship with James Potter shape his relationship with Harry?,"It creates a strong bond between Sirius and Harry, as Sirius sees James reflected in Harry and feels a sense of responsibility for his well-being.","<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: How does Sirius Black’s friendship with James Potter shape his relationship with Harry? [/INST] It creates a strong bond between Sirius and Harry, as Sirius sees James reflected in Harry and feels a sense of responsibility for his well-being. </s>"
What is the primary use of the charm Scourgify?,Cleaning,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the primary use of the charm Scourgify? [/INST] Cleaning </s>
What is the name of the potion that grants the drinker immense strength?,Felix Felicis,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the potion that grants the drinker immense strength? [/INST] Felix Felicis </s>
What is the name of America's magical government?,MACUSA,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of America's magical government? [/INST] MACUSA </s>
What is the name of the ghost who is the Ravenclaw House's ghost?,The Grey Lady,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the ghost who is the Ravenclaw House's ghost? [/INST] The Grey Lady </s>
What is the name of the game played on broomsticks in the Harry Potter series?,Quidditch,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the game played on broomsticks in the Harry Potter series? [/INST] Quidditch </s>
Starfish and Stick is a tactic used by what Quidditch position?,Keeper,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: Starfish and Stick is a tactic used by what Quidditch position? [/INST] Keeper </s>
What potion is brewed to transform a person's appearance temporarily?,Polyjuice Potion,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What potion is brewed to transform a person's appearance temporarily? [/INST] Polyjuice Potion </s>
What is the name of the sport played on broomsticks in the wizarding world?,Quidditch,<s>[INST] Answer as briefly as you can to the folowing question. You are required to give a one-shot answer: What is the name of the sport played on broomsticks in the wizarding world? [/INST] Quidditch </s>
